test_split_ratio,weights,neighbors,brief_desc_size,baseline_acc,raw_img_acc,feat_acc,gain
0.3,uniform,1,16,100.0,79.44444444444444,78.88888888888889,-0.5555555555555571
0.3,distance,1,16,100.0,79.44444444444444,78.88888888888889,-0.5555555555555571
0.3,uniform,2,16,91.19047619047619,77.22222222222223,78.33333333333333,1.1111111111111
0.3,distance,2,16,100.0,79.44444444444444,78.88888888888889,-0.5555555555555571
0.3,uniform,3,16,90.47619047619048,80.0,79.44444444444444,-0.5555555555555571
0.3,distance,3,16,100.0,80.0,80.0,0.0
0.3,uniform,4,16,89.52380952380953,80.0,80.0,0.0
0.3,distance,4,16,100.0,82.22222222222221,80.55555555555556,-1.6666666666666572
0.3,uniform,5,16,88.80952380952381,77.22222222222223,77.77777777777779,0.5555555555555571
0.3,distance,5,16,100.0,79.44444444444444,77.77777777777779,-1.6666666666666572
0.3,uniform,1,32,100.0,79.44444444444444,86.11111111111111,6.666666666666671
0.3,distance,1,32,100.0,79.44444444444444,86.11111111111111,6.666666666666671
0.3,uniform,2,32,91.19047619047619,77.22222222222223,81.11111111111111,3.8888888888888857
0.3,distance,2,32,100.0,79.44444444444444,86.11111111111111,6.666666666666671
0.3,uniform,3,32,90.47619047619048,80.0,82.22222222222221,2.2222222222222143
0.3,distance,3,32,100.0,80.0,83.33333333333334,3.333333333333343
0.3,uniform,4,32,89.52380952380953,80.0,78.33333333333333,-1.6666666666666714
0.3,distance,4,32,100.0,82.22222222222221,82.22222222222221,0.0
0.3,uniform,5,32,88.80952380952381,77.22222222222223,78.88888888888889,1.6666666666666572
0.3,distance,5,32,100.0,79.44444444444444,80.55555555555556,1.1111111111111143
0.3,uniform,1,64,100.0,79.44444444444444,85.0,5.555555555555557
0.3,distance,1,64,100.0,79.44444444444444,85.0,5.555555555555557
0.3,uniform,2,64,91.19047619047619,77.22222222222223,81.11111111111111,3.8888888888888857
0.3,distance,2,64,100.0,79.44444444444444,85.0,5.555555555555557
0.3,uniform,3,64,90.47619047619048,80.0,82.77777777777777,2.7777777777777715
0.3,distance,3,64,100.0,80.0,82.77777777777777,2.7777777777777715
0.3,uniform,4,64,89.52380952380953,80.0,80.55555555555556,0.5555555555555571
0.3,distance,4,64,100.0,82.22222222222221,83.33333333333334,1.1111111111111285
0.3,uniform,5,64,88.80952380952381,77.22222222222223,80.55555555555556,3.3333333333333286
0.3,distance,5,64,100.0,79.44444444444444,82.22222222222221,2.7777777777777715
